,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
30,Civic Center District,29.7597,-95.368,5411 Empanadas,29.758986,-95.36859,Empanada Restaurant
31,Civic Center District,29.7597,-95.368,Sam Houston Park,29.75987637162599,-95.37121094173017,Park
32,Civic Center District,29.7597,-95.368,Theatre Under The Stars,29.761486842951108,-95.37006806125714,Theater
33,Civic Center District,29.7597,-95.368,Mango Tree Thai Bistro,29.7582507801515,-95.36538711279135,Thai Restaurant
34,Civic Center District,29.7597,-95.368,Alley Theatre,29.761671455030886,-95.36531338369234,Theater
35,Civic Center District,29.7597,-95.368,Jones Hall,29.761239817549807,-95.36530148121828,Concert Hall
36,Civic Center District,29.7597,-95.368,Treebeards - The Tunnel,29.75790324188933,-95.36897178076335,Southern / Soul Food Restaurant
37,Civic Center District,29.7597,-95.368,Jason's Deli,29.75746388891063,-95.36554282298964,Deli / Bodega
38,Civic Center District,29.7597,-95.368,Perbacco,29.760257437720647,-95.36477339516325,Italian Restaurant
39,Civic Center District,29.7597,-95.368,Houston Symphony,29.7608909,-95.36500439999999,Performing Arts Venue
40,Civic Center District,29.7597,-95.368,The Blue Fish Bayou Place,29.7620478211349,-95.36619257500463,Sushi Restaurant
41,Civic Center District,29.7597,-95.368,Revention Music Center,29.76237785917783,-95.36753305616743,Music Venue
42,Civic Center District,29.7597,-95.368,Tranquility Park,29.760053085786517,-95.36806799414663,Park
43,Civic Center District,29.7597,-95.368,Starbucks,29.76000112,-95.36558491,Coffee Shop
44,Civic Center District,29.7597,-95.368,Bombay Pizza Co.,29.7577,-95.364586,Pizza Place
45,Civic Center District,29.7597,-95.368,Hyatt Regency Houston,29.7570493,-95.36945999999999,Hotel
46,Civic Center District,29.7597,-95.368,Jones Plaza,29.761345600653456,-95.36593190955779,Park
47,Civic Center District,29.7597,-95.368,Dimassi's Mediterranean Buffet,29.758283056150198,-95.36591499676368,Mediterranean Restaurant
48,Civic Center District,29.7597,-95.368,Whataburger,29.75681458741339,-95.3656786680221,Burger Joint
49,Civic Center District,29.7597,-95.368,Spindletop Restaurant at Hyatt Regency Houston,29.756949047209694,-95.36909651778885,Seafood Restaurant
50,Civic Center District,29.7597,-95.368,Finn Hall,29.758677697696452,-95.36384585056344,Food Court
51,Civic Center District,29.7597,-95.368,Chick-fil-A,29.760148,-95.365628,Food Service
52,Civic Center District,29.7597,-95.368,JW Marriott Houston Downtown,29.7583321,-95.3640592,Hotel
53,Civic Center District,29.7597,-95.368,Zilkha Hall,29.761531794408903,-95.36883101307693,Concert Hall
54,Civic Center District,29.7597,-95.368,Wortham Theater Center,29.76335289300658,-95.36566257476807,Theater
55,Civic Center District,29.7597,-95.368,Pappas Bar-B-Q,29.7582468,-95.369282,BBQ Joint
56,Civic Center District,29.7597,-95.368,Flying Saucer Draught Emporium,29.759116074765853,-95.36321640522559,Beer Bar
57,Civic Center District,29.7597,-95.368,Goode Co. Taqueria,29.759029,-95.364181,Taco Place
58,Civic Center District,29.7597,-95.368,Potbelly Sandwich Shop,29.7567949227741,-95.36578488424459,Sandwich Place
59,Civic Center District,29.7597,-95.368,The Lancaster Hotel,29.761408733425917,-95.36501573896328,Hotel
60,Civic Center District,29.7597,-95.368,Shake Shack,29.759176,-95.36335,Burger Joint
61,Civic Center District,29.7597,-95.368,Starbucks,29.76027358,-95.36415507,Coffee Shop
62,Civic Center District,29.7597,-95.368,Aloft Houston Downtown,29.75751314468994,-95.36357581615448,Hotel
63,Civic Center District,29.7597,-95.368,Birraporetti's,29.762461731403604,-95.36466977857937,Italian Restaurant
64,Civic Center District,29.7597,-95.368,Murphy's Deli,29.758083265310766,-95.36333522383443,Sandwich Place
65,Civic Center District,29.7597,-95.368,Benihana,29.75603690924997,-95.36956842447712,Japanese Restaurant
66,Civic Center District,29.7597,-95.368,Hard Rock Cafe Houston,29.7627018,-95.3673965,Theme Restaurant
67,Civic Center District,29.7597,-95.368,Starbucks,29.755592,-95.36653,Coffee Shop
68,Civic Center District,29.7597,-95.368,Azuma Sushi & Robata Bar,29.760168457600827,-95.36296529770571,Japanese Restaurant
69,Civic Center District,29.7597,-95.368,Morton's The Steakhouse,29.75674930903216,-95.3641144068024,Steakhouse
70,Civic Center District,29.7597,-95.368,The Wine Cellar Wine & Mezza Bar,29.762459999999997,-95.367819,Wine Bar
71,Civic Center District,29.7597,-95.368,Padthai Thai Restaurant,29.762710058198117,-95.36430391791433,Thai Restaurant
72,Civic Center District,29.7597,-95.368,Amc Houston 8,29.761586901400825,-95.36640849256486,Movie Theater
73,Civic Center District,29.7597,-95.368,Peter Pan @ The Hobby Center,29.76186941045462,-95.37020630965453,Theater
74,Convention District,29.7549,-95.3562,Marriott Marquis Houston,29.7544464,-95.3581201,Hotel
75,Convention District,29.7549,-95.3562,Diamond Club,29.75656077706362,-95.35532534122467,Baseball Stadium
76,Convention District,29.7549,-95.3562,Minute Maid Park,29.757058129897075,-95.35574826805353,Baseball Stadium
77,Convention District,29.7549,-95.3562,Biggio's,29.754688,-95.358142,Sports Bar
78,Convention District,29.7549,-95.3562,Club Level,29.757155669962486,-95.35559838086293,Baseball Stadium
79,Convention District,29.7549,-95.3562,Hampton Inn by Hilton,29.7557072,-95.3584477,Hotel
80,Convention District,29.7549,-95.3562,Grotto Downtown,29.7539178,-95.3571966,Italian Restaurant
81,Convention District,29.7549,-95.3562,Homewood Suites by Hilton,29.755714035130282,-95.35835552429965,Hotel
82,Convention District,29.7549,-95.3562,Vic & Anthony's Steakhouse,29.756979913075334,-95.35825431346893,Steakhouse
83,Convention District,29.7549,-95.3562,Xochi,29.754480182176135,-95.35908860025862,Mexican Restaurant
84,Convention District,29.7549,-95.3562,Saint Arnold Bar,29.75702974710201,-95.35609058906829,Bar
85,Convention District,29.7549,-95.3562,Pappadeaux's Seafood Kitchen,29.7524809,-95.35789229999999,Cajun / Creole Restaurant
86,Convention District,29.7549,-95.3562,Discovery Green,29.753237897872424,-95.35948276519775,Park
87,Convention District,29.7549,-95.3562,Sticky's Chicken,29.752723621666096,-95.35470598971514,Food Truck
88,Convention District,29.7549,-95.3562,AHH Coffee!,29.752803861789086,-95.35481322514916,Coffee Shop
89,Convention District,29.7549,-95.3562,Potente,29.757237886603125,-95.35744749007415,Italian Restaurant
90,Convention District,29.7549,-95.3562,Neil's Bahr,29.75223506951304,-95.35545629868716,Beer Garden
91,Convention District,29.7549,-95.3562,Huynh Restaurant,29.75169152493912,-95.35532092486456,Vietnamese Restaurant
92,Convention District,29.7549,-95.3562,Astros Team Store,29.757010055526194,-95.35544817539866,Clothing Store
93,Convention District,29.7549,-95.3562,Pitch 25 Beer Park,29.75168775951742,-95.35466790845334,Bar
94,Convention District,29.7549,-95.3562,Warehouse Live,29.752059933334234,-95.35458526365262,Music Venue
95,Convention District,29.7549,-95.3562,BBVA Compass Stadium,29.75266593666373,-95.35254485495663,Soccer Stadium
96,Convention District,29.7549,-95.3562,Comicpalooza Convention,29.75245337684057,-95.35916135052251,Comic Shop
97,Convention District,29.7549,-95.3562,Little Woodrow's,29.752275549125823,-95.35484478551584,Bar
98,Convention District,29.7549,-95.3562,Lucky's Pub,29.752459211963238,-95.35413132402206,Sports Bar
99,Convention District,29.7549,-95.3562,Irma's Southwest Grill,29.757877021367836,-95.35915482511396,Mexican Restaurant
100,Convention District,29.7549,-95.3562,The Westin Houston Downtown,29.756730760213003,-95.35778170820777,Hotel
101,Convention District,29.7549,-95.3562,Jackson Street BBQ,29.758971715406062,-95.35426660621529,BBQ Joint
102,Convention District,29.7549,-95.3562,Osso & Kristalla,29.7574509,-95.3579026,Italian Restaurant
103,Convention District,29.7549,-95.3562,The Grove,29.752581423767637,-95.36053197196186,New American Restaurant
104,Convention District,29.7549,-95.3562,Brasserie du Parc,29.754073609294203,-95.36102153792176,French Restaurant
105,Convention District,29.7549,-95.3562,Houston Dynamo Team Store,29.752564989104805,-95.35213613881542,Sporting Goods Shop
106,Convention District,29.7549,-95.3562,King's Court Bar and Kitchen,29.751209,-95.35396,Indian Restaurant
107,Convention District,29.7549,-95.3562,Lobby Bar,29.75207967924617,-95.36022418924256,Hotel Bar
108,Convention District,29.7549,-95.3562,Eado/Stadium Light Rail Station,29.75354271666723,-95.35205439593487,Light Rail Station
109,Convention District,29.7549,-95.3562,METRORail EaDo/Stadium Station,29.753505591659874,-95.35201585109134,Light Rail Station
110,Historic District,29.6681,-95.2802,Wingstop,29.671380618707676,-95.27747898109749,Wings Joint
111,Historic District,29.6681,-95.2802,99 Cents Only Stores,29.670769,-95.278091,Discount Store
112,Historic District,29.6681,-95.2802,Popeyes Louisiana Kitchen,29.67122607870017,-95.27683696431825,Fried Chicken Joint
113,Historic District,29.6681,-95.2802,Airport	Express Valero,29.665205,-95.27747,Convenience Store
114,Historic District,29.6681,-95.2802,Don Carlos Mexican Restaurant,29.670179471687803,-95.27658560641727,Mexican Restaurant
115,Historic District,29.6681,-95.2802,Luciano's Pizza,29.665789,-95.277564,Pizza Place
116,Historic District,29.6681,-95.2802,Scottish Inn Hobby Airport,29.670554,-95.276558,Hotel
117,Historic District,29.6681,-95.2802,Burger King,29.67203184093044,-95.27831643819815,Fast Food Restaurant
118,Historic District,29.6681,-95.2802,SMart,29.672176442900717,-95.28124362727222,Convenience Store
119,Historic District,29.6681,-95.2802,Wok D'Lite,29.671962,-95.27784,Chinese Restaurant
120,Historic District,29.6681,-95.2802,Brident Dental & Orthodontics,29.671933000000003,-95.277619,Dentist's Office
121,Medical District,29.7095,-95.3982,Chick-fil-A,29.7095188,-95.3977498,Food Service
122,Medical District,29.7095,-95.3982,Chick-fil-A,29.707939,-95.397616,Food Service
123,Medical District,29.7095,-95.3982,Starbucks,29.70977647,-95.40126773,Coffee Shop
124,Medical District,29.7095,-95.3982,Jesse H. Jones Rotary House International,29.7059681449021,-95.39626259232507,Hotel
125,Medical District,29.7095,-95.3982,Third Coast Restaurant,29.70999605434124,-95.39761883230774,Breakfast Spot
126,Medical District,29.7095,-95.3982,Mod Pizza,29.709272,-95.40142,Pizza Place
127,Medical District,29.7095,-95.3982,The MarketPlace,29.7095874435396,-95.39862078304682,Food Court
128,Medical District,29.7095,-95.3982,Chick-fil-A,29.708023999999998,-95.401077,Food Service
129,Medical District,29.7095,-95.3982,Cafe Anderson,29.706994706587135,-95.39771084535352,Restaurant
130,Medical District,29.7095,-95.3982,Chipotle Mexican Grill,29.70976298340492,-95.40112300305844,Mexican Restaurant
131,Medical District,29.7095,-95.3982,Smoothie King,29.706943,-95.397153,Smoothie Shop
132,Medical District,29.7095,-95.3982,Cliff's Grill,29.710142194603907,-95.4018134962304,Burger Joint
133,Medical District,29.7095,-95.3982,Alonti Cafe,29.711298505424388,-95.39983914124682,Salad Place
134,Medical District,29.7095,-95.3982,Houston Marriott Medical Center/Museum District,29.7100524,-95.4009482,Hotel
135,Medical District,29.7095,-95.3982,Al Vetro,29.710244196431862,-95.40049619859414,Coffee Shop
136,Medical District,29.7095,-95.3982,Chase Bank,29.7108154,-95.4002474,Bank
137,Medical District,29.7095,-95.3982,Starbucks,29.70694814387861,-95.39771214316417,Coffee Shop
138,Medical District,29.7095,-95.3982,Subway,29.709491192927718,-95.39763805522534,Sandwich Place
139,Medical District,29.7095,-95.3982,Miller's Cafe,29.710758925075663,-95.40038395729259,Burger Joint
140,Medical District,29.7095,-95.3982,Luby's,29.710465088297067,-95.39599766839972,American Restaurant
141,Medical District,29.7095,-95.3982,Village BBQ,29.710028402651748,-95.40181943549184,BBQ Joint
142,Medical District,29.7095,-95.3982,John P. McGovern Texas Medical Center Commons,29.709871490864902,-95.3974921880525,American Restaurant
143,Medical District,29.7095,-95.3982,Murphy's Deli,29.710329039102767,-95.40048246281926,Sandwich Place
144,Medical District,29.7095,-95.3982,Wells Fargo ATM,29.707721,-95.401572,ATM
145,Medical District,29.7095,-95.3982,Walgreens,29.710827172830218,-95.4002845287323,Pharmacy
146,Medical District,29.7095,-95.3982,Subway,29.707903316083204,-95.40155325000217,Sandwich Place
147,Medical District,29.7095,-95.3982,Starbucks,29.707749,-95.400456,Coffee Shop
148,Medical District,29.7095,-95.3982,Hilton,29.709920954297722,-95.40322288870811,Hotel
149,Shopping District,29.7552,-95.3627,House of Blues,29.753839312595506,-95.36400247829128,Music Venue
150,Shopping District,29.7552,-95.3627,Pappas Bros. Steakhouse,29.75527,-95.36304,Steakhouse
151,Shopping District,29.7552,-95.3627,Phoenicia Specialty Foods,29.754502385638137,-95.3617598578482,Market
152,Shopping District,29.7552,-95.3627,Four Seasons Hotel Houston,29.754179639092946,-95.36237997413849,Hotel
153,Shopping District,29.7552,-95.3627,Reserve 101,29.75376595105044,-95.3633704277715,Whisky Bar
154,Shopping District,29.7552,-95.3627,Quattro,29.754122193587296,-95.36246896887286,Italian Restaurant
155,Shopping District,29.7552,-95.3627,Foundation Room,29.754239492046178,-95.36434645138534,Lounge
156,Shopping District,29.7552,-95.3627,Kelsey-Seybold Clinic - Downtown at The Shops,29.75554587157065,-95.36262870064445,Doctor's Office
157,Shopping District,29.7552,-95.3627,The Downtown Club,29.754527942539994,-95.36364555358887,Gym / Fitness Center
158,Shopping District,29.7552,-95.3627,The Spa at Four Seasons Hotel Houston,29.754057567165766,-95.36321640014648,Spa
159,Shopping District,29.7552,-95.3627,Andalucia Tapas Restaurant and Bar,29.7539291,-95.3640564,Spanish Restaurant
160,Shopping District,29.7552,-95.3627,Embassy Suites by Hilton,29.752999214502747,-95.36134086549282,Hotel
161,Shopping District,29.7552,-95.3627,Lobby Lounge at Four Seasons Hotel Houston,29.754206869794206,-95.36270578821772,Lounge
162,Shopping District,29.7552,-95.3627,Brasserie du Parc,29.754073609294203,-95.36102153792176,French Restaurant
163,Shopping District,29.7552,-95.3627,Bayou & Bottle,29.75420655229634,-95.36297655317625,American Restaurant
164,Shopping District,29.7552,-95.3627,Pete's Dueling Piano Bar,29.754334140328638,-95.36466581521225,Bar
165,Shopping District,29.7552,-95.3627,Doozo Dumpling House,29.75524027697844,-95.36216535901453,Dumpling Restaurant
166,Shopping District,29.7552,-95.3627,III Forks,29.754211108766416,-95.36463679680377,Steakhouse
167,Shopping District,29.7552,-95.3627,Miller's Cafe,29.75653581200845,-95.36427900236197,Burger Joint
168,Shopping District,29.7552,-95.3627,Guadalajara Del Centro,29.75409869599706,-95.36446241013734,Mexican Restaurant
169,Shopping District,29.7552,-95.3627,Le Méridien Houston Downtown,29.7569038,-95.362806,Hotel
170,Shopping District,29.7552,-95.3627,McCormick & Schmick's,29.75418361086734,-95.36526306843655,Seafood Restaurant
171,Shopping District,29.7552,-95.3627,Starbucks,29.755466,-95.36317,Coffee Shop
172,Shopping District,29.7552,-95.3627,Bombay Pizza Co.,29.7577,-95.364586,Pizza Place
173,Shopping District,29.7552,-95.3627,Potbelly Sandwich Shop,29.754995,-95.362408,Sandwich Place
174,Shopping District,29.7552,-95.3627,MKT BAR,29.754745708965412,-95.36149510826394,Gastropub
175,Shopping District,29.7552,-95.3627,Aloft Houston Downtown,29.75751314468994,-95.36357581615448,Hotel
176,Shopping District,29.7552,-95.3627,Discovery Green,29.753237897872424,-95.35948276519775,Park
177,Shopping District,29.7552,-95.3627,Hotel Alessandra,29.75492408670382,-95.36561136855761,Hotel
178,Shopping District,29.7552,-95.3627,Whataburger,29.75681458741339,-95.3656786680221,Burger Joint
179,Shopping District,29.7552,-95.3627,Jason's Deli,29.75746388891063,-95.36554282298964,Deli / Bodega
180,Shopping District,29.7552,-95.3627,Berkeley Eye Center - The Park Shops,29.75766313118798,-95.36290166681026,Optical Shop
181,Shopping District,29.7552,-95.3627,Xochi,29.754480182176135,-95.35908860025862,Mexican Restaurant
182,Shopping District,29.7552,-95.3627,The Grove,29.752581423767637,-95.36053197196186,New American Restaurant
183,Shopping District,29.7552,-95.3627,JW Marriott Houston Downtown,29.7583321,-95.3640592,Hotel
184,Shopping District,29.7552,-95.3627,Finn Hall,29.758677697696452,-95.36384585056344,Food Court
185,Shopping District,29.7552,-95.3627,GreenStreet,29.754489913198974,-95.36535446485757,Shopping Mall
186,Shopping District,29.7552,-95.3627,Marriott Marquis Houston,29.7544464,-95.3581201,Hotel
187,Shopping District,29.7552,-95.3627,Morton's The Steakhouse,29.75674930903216,-95.3641144068024,Steakhouse
188,Shopping District,29.7552,-95.3627,Flying Saucer Draught Emporium,29.759116074765853,-95.36321640522559,Beer Bar
189,Shopping District,29.7552,-95.3627,Murphy's Deli,29.758083265310766,-95.36333522383443,Sandwich Place
190,Shopping District,29.7552,-95.3627,Hampton Inn by Hilton,29.7557072,-95.3584477,Hotel
191,Shopping District,29.7552,-95.3627,Baoz Dumplings,29.755670115297427,-95.36418662403311,Dumpling Restaurant
192,Shopping District,29.7552,-95.3627,Mango Tree Thai Bistro,29.7582507801515,-95.36538711279135,Thai Restaurant
193,Shopping District,29.7552,-95.3627,Potbelly Sandwich Shop,29.7567949227741,-95.36578488424459,Sandwich Place
194,Shopping District,29.7552,-95.3627,Vic & Anthony's Steakhouse,29.756979913075334,-95.35825431346893,Steakhouse
195,Shopping District,29.7552,-95.3627,Comicpalooza Convention,29.75245337684057,-95.35916135052251,Comic Shop
196,Shopping District,29.7552,-95.3627,Homewood Suites by Hilton,29.755714035130282,-95.35835552429965,Hotel
197,Shopping District,29.7552,-95.3627,Pool Teracce @ Hilton Americas,29.75164953216348,-95.36115063724893,Pool
198,Shopping District,29.7552,-95.3627,Irma's Southwest Grill,29.757877021367836,-95.35915482511396,Mexican Restaurant
199,Shopping District,29.7552,-95.3627,Toyota Center,29.750946514061688,-95.36220788955688,Basketball Stadium
200,Shopping District,29.7552,-95.3627,Hilton,29.7514414,-95.3605728,Hotel
201,Shopping District,29.7552,-95.3627,Hilton Americas Executive Lounge,29.75204261893564,-95.36078282398125,Lounge
202,Shopping District,29.7552,-95.3627,Biggio's,29.754688,-95.358142,Sports Bar
203,Shopping District,29.7552,-95.3627,Chevron Houston Marathon,29.75379695281494,-95.35980004856663,Athletics & Sports
204,Shopping District,29.7552,-95.3627,Becks Prime,29.75818486875766,-95.36617176399422,Burger Joint
205,Shopping District,29.7552,-95.3627,Magnolia Hotel,29.75933928790986,-95.36166776585594,Hotel
206,Shopping District,29.7552,-95.3627,Shake Shack,29.759176,-95.36335,Burger Joint
207,Shopping District,29.7552,-95.3627,Starbucks,29.755592,-95.36653,Coffee Shop
208,Shopping District,29.7552,-95.3627,The Ice at Discovery Green,29.753700987318382,-95.3595445685004,Playground
209,Shopping District,29.7552,-95.3627,Jack Daniel's Old No. 7 Bar,29.750847110854835,-95.36213007898186,Bar
210,Shopping District,29.7552,-95.3627,Root Basketball Court,29.7513699,-95.36344443333333,Basketball Court
211,Shopping District,29.7552,-95.3627,Goode Co. Taqueria,29.759029,-95.364181,Taco Place
212,Shopping District,29.7552,-95.3627,Hilton America 19th Floor Lounge,29.752088493258263,-95.36080907148909,Hotel Bar
213,Shopping District,29.7552,-95.3627,Salata,29.7546314,-95.3622553,Salad Place
214,Shopping District,29.7552,-95.3627,Hearsay on the Green,29.752682581791085,-95.36112276241157,New American Restaurant
215,Shopping District,29.7552,-95.3627,Dimassi's Mediterranean Buffet,29.758283056150198,-95.36591499676368,Mediterranean Restaurant
216,Shopping District,29.7552,-95.3627,Lobby Bar,29.75207967924617,-95.36022418924256,Hotel Bar
217,Shopping District,29.7552,-95.3627,Hallmark,29.755290999999996,-95.361949,Gift Shop
218,Shopping District,29.7552,-95.3627,Pappasito's Cantina,29.751556,-95.36059,Mexican Restaurant
219,Shopping District,29.7552,-95.3627,Magnolia Hotel 2nd Floor Caroline Room,29.75909419467693,-95.36157488822937,Hotel Bar
220,Shopping District,29.7552,-95.3627,Great American Cookies,29.754901,-95.362206,Bakery
221,Shopping District,29.7552,-95.3627,GNC,29.756081288473204,-95.36246732802164,Supplement Shop
222,Shopping District,29.7552,-95.3627,Freshii,29.75540899711876,-95.36202878447737,Fast Food Restaurant
223,Shopping District,29.7552,-95.3627,Chase Bank,29.7546286,-95.3624522,Bank
224,Shopping District,29.7552,-95.3627,Thai Basil,29.75503087972553,-95.36196007558505,Thai Restaurant
225,Shopping District,29.7552,-95.3627,Wells Fargo,29.755290999999996,-95.361949,Bank
226,Shopping District,29.7552,-95.3627,Chick-fil-A,29.7550179,-95.3621089,Fast Food Restaurant
227,Shopping District,29.7552,-95.3627,Subway,29.754472,-95.362134,Sandwich Place
228,Shopping District,29.7552,-95.3627,The Shops at Houston Center,29.754905965141354,-95.36226804425988,Shopping Mall
229,Shopping District,29.7552,-95.3627,Walker Street Kitchen,29.754099102707436,-95.35781941093992,New American Restaurant
230,Shopping District,29.7552,-95.3627,1600 Bar + Grille,29.75210422537943,-95.36085263841372,New American Restaurant
231,Shopping District,29.7552,-95.3627,The UPS Store,29.75165071,-95.36005042,Shipping Store
232,Shopping District,29.7552,-95.3627,Starbucks,29.751496,-95.360234,Coffee Shop
233,Skyline District,29.7598,-95.3633,Conservatory,29.760427,-95.36157,Beer Garden
234,Skyline District,29.7598,-95.3633,Frank's Pizza,29.76139343862214,-95.36272077712701,Pizza Place
235,Skyline District,29.7598,-95.3633,Flying Saucer Draught Emporium,29.759116074765853,-95.36321640522559,Beer Bar
236,Skyline District,29.7598,-95.3633,Finn Hall,29.758677697696452,-95.36384585056344,Food Court
237,Skyline District,29.7598,-95.3633,JW Marriott Houston Downtown,29.7583321,-95.3640592,Hotel
238,Skyline District,29.7598,-95.3633,Perbacco,29.760257437720647,-95.36477339516325,Italian Restaurant
239,Skyline District,29.7598,-95.3633,Local Foods,29.7608788801562,-95.36204248120119,Bistro
240,Skyline District,29.7598,-95.3633,Frank's Backyard,29.76165425656305,-95.36246784840213,Bar
241,Skyline District,29.7598,-95.3633,Houston Symphony,29.7608909,-95.36500439999999,Performing Arts Venue
242,Skyline District,29.7598,-95.3633,Magnolia Hotel,29.75933928790986,-95.36166776585594,Hotel
243,Skyline District,29.7598,-95.3633,Jones Hall,29.761239817549807,-95.36530148121828,Concert Hall
244,Skyline District,29.7598,-95.3633,Alley Theatre,29.761671455030886,-95.36531338369234,Theater
245,Skyline District,29.7598,-95.3633,Bombay Pizza Co.,29.7577,-95.364586,Pizza Place
246,Skyline District,29.7598,-95.3633,Shake Shack,29.759176,-95.36335,Burger Joint
247,Skyline District,29.7598,-95.3633,Mango Tree Thai Bistro,29.7582507801515,-95.36538711279135,Thai Restaurant
248,Skyline District,29.7598,-95.3633,Treebeards,29.762217,-95.361959,Southern / Soul Food Restaurant
249,Skyline District,29.7598,-95.3633,Bovine & Barley,29.76100379693895,-95.3619186441427,Gastropub
250,Skyline District,29.7598,-95.3633,Murphy's Deli,29.758083265310766,-95.36333522383443,Sandwich Place
251,Skyline District,29.7598,-95.3633,Goode Co. Taqueria,29.759029,-95.364181,Taco Place
252,Skyline District,29.7598,-95.3633,The Pastry War,29.761984911864122,-95.36107403455036,Cocktail Bar
253,Skyline District,29.7598,-95.3633,Jason's Deli,29.75746388891063,-95.36554282298964,Deli / Bodega
254,Skyline District,29.7598,-95.3633,Aloft Houston Downtown,29.75751314468994,-95.36357581615448,Hotel
255,Skyline District,29.7598,-95.3633,Market Square Park,29.762556195955845,-95.36213706082965,Park
256,Skyline District,29.7598,-95.3633,Berkeley Eye Center - The Park Shops,29.75766313118798,-95.36290166681026,Optical Shop
257,Skyline District,29.7598,-95.3633,Captain Foxheart's Bad News Bar & Spirits Lodge,29.76198742865618,-95.36102984413776,Cocktail Bar
258,Skyline District,29.7598,-95.3633,Azuma Sushi & Robata Bar,29.760168457600827,-95.36296529770571,Japanese Restaurant
259,Skyline District,29.7598,-95.3633,The Moonshiners Southern Table + Bar,29.760661679187045,-95.36193038831519,Southern / Soul Food Restaurant
260,Skyline District,29.7598,-95.3633,La Palapa,29.760748112649626,-95.36016376125644,Mexican Restaurant
261,Skyline District,29.7598,-95.3633,Becks Prime,29.75818486875766,-95.36617176399422,Burger Joint
262,Skyline District,29.7598,-95.3633,Treebeards - The Cloister,29.759566281593298,-95.36076057494942,Southern / Soul Food Restaurant
263,Skyline District,29.7598,-95.3633,Boomtown Coffee,29.762283174335757,-95.36097569404325,Coffee Shop
264,Skyline District,29.7598,-95.3633,El Burro & The Bull,29.760446713850953,-95.36163498611974,BBQ Joint
