,Borough,Neighborhood,Latitude,Longitude
39,Lincoln Park,"Lincoln Park, Old Town Triangle, Park West, Ranch Triangle, Sheffield Neighbors, West DePaul, Wrightwood Neighbors",41.940297650000005,-87.63811710541756
40,Lincoln Square,"Bowmanville, Budlong Woods, Lincoln Square, Ravenswood, Ravenswood Gardens",41.975989850000005,-87.6896163305115
41,Logan Square,"Bucktown, Kosciuszko Park, Logan Square, Palmer Square",41.9285683,-87.7067931
42,Lower West Side,"East Pilsen, Heart of Chicago, Lower West Side, Pilsen",41.84761975,-87.67177415037347
43,McKinley Park,McKinley Park,41.8316997,-87.6736638
44,Montclare,Montclare,41.92774435,-87.798456869467
45,Morgan Park,"Beverly Woods, Kennedy Park, Morgan Park, West Morgan Park",41.6903117,-87.6667156
46,Mount Greenwood,"Mount Greenwood, Talley's Corner",41.6980891,-87.7086616
47,Near North Side,"Cabrini–Green, Gold Coast, Goose Island, Magnificent Mile, Near North Side, Old Town, River North, Streeterville",41.9000327,-87.6344975
48,Near South Side,"Central Station, Dearborn Park, Museum Campus, Prairie Avenue Historic District",41.8566999,-87.6247738
49,Near West Side,"Fulton River District, Greektown, Illinois Medical District, Little Italy, Near West Side, Tri-Taylor, University Village, West Loop",41.8800656,-87.6667624
50,New City,"Back of the Yards, Canaryville, New City",41.8075333,-87.6564403
51,North Center,"North Center, Roscoe Village, Saint Ben's",41.9561073,-87.6791596
52,North Lawndale,"Douglas Park, Homan Square, K-Town, North Lawndale",41.8581513,-87.71388118608263
53,North Park,"Hollywood Park, North Park, River's Edge",41.98495475,-87.72293282470297
54,Norwood Park,"Big Oaks, Norwood Park East, Norwood Park West, Old Norwood, Oriole Park, Union Ridge",41.9855895,-87.80058173001102
55,O'Hare,"O'Hare, Schorsch Forest View",41.97310105,-87.90676788547228
56,Oakland,Oakland,41.8236535,-87.6082424
57,Portage Park,Portage Park,41.9578093,-87.7650594
58,Pullman,"Cottage Grove Heights, Pullman",41.704123949999996,-87.59829870691331
59,Riverdale,"Altgeld Gardens, Eden Green, Golden Gate, Riverdale",41.6658087,-87.6053444117628
60,Rogers Park,"Loyola, Rogers Park",42.01053135,-87.67074819664808
61,Roseland,"Fernwood, Kensington, Lilydale, Princeton Park, Roseland, Rosemoor",41.7019787,-87.625881
62,South Chicago,South Chicago,41.7345874,-87.5513222
63,South Deering,South Deering,41.6922364,-87.57170331249044
64,South Lawndale,"Little Village, Marshall Square, South Lawndale",41.8382149,-87.71327288272651
65,South Shore,"Jackson Park Highlands, South Shore",41.7587276,-87.5752828
66,The Loop,"The Loop, New Eastside, Printer's Row, South Loop",41.8755616,-87.6244212
67,Uptown,"Buena Park, Clarendon Park, Margate Park, New Chinatown, Sheridan Park, Uptown",41.9666299,-87.6555458
68,Washington Heights,"Brainerd, Longwood Manor, Washington Heights",41.7064229,-87.65616
69,Washington Park,Washington Park,41.7925338,-87.6181052
70,West Elsdon,West Elsdon,41.7939217,-87.7244978
71,West Englewood,West Englewood,41.7780891,-87.6667177
72,West Garfield Park,West Garfield Park,41.8805878,-87.7292227
73,West Lawn,"Ford City, West Lawn",41.7728107,-87.722275
74,West Pullman,West Pullman,41.6750456,-87.637823
75,West Ridge,"Nortown, Peterson Park, Rosehill, West Ridge, West Rogers Park",42.0035482,-87.6962426
76,West Town,"East Village, Noble Square, Polish Downtown, Pulaski Park, River West, Smith Park, Ukrainian Village, West Town, Wicker Park",41.9014213,-87.6861661
77,Woodlawn,"West Woodlawn, Woodlawn",41.7794786,-87.599493
